seed,initial_temp,cooldown
422159,200,0.5,ft20
422159,200,0.5,abz9
422159,200,0.5,la04
422159,200,0.5,la03
422159,200,0.5,abz6
422159,200,0.5,la02
422159,200,0.5,abz5
422159,200,0.5,la01
422159,200,0.8,ft10
422159,200,0.8,abz7
422159,200,0.8,ft20
422159,200,0.8,abz9
422159,200,0.8,la04
422159,200,0.8,la03
422159,200,0.8,abz6
422159,200,0.8,la02
422159,200,0.8,abz5
422159,200,0.8,la01
422159,200,0.9,ft10
422159,200,0.9,abz7
422159,200,0.9,ft20
422159,200,0.9,abz9
422159,200,0.9,la04
422159,200,0.9,la03
422159,200,0.9,abz6
422159,200,0.9,la02
422159,200,0.9,abz5
422159,200,0.9,la01
77435,100,0.5,ft10
77435,100,0.5,abz7
77435,100,0.5,ft20
77435,100,0.5,abz9
77435,100,0.5,la04
77435,100,0.5,la03
77435,100,0.5,abz6
77435,100,0.5,la02
77435,100,0.5,abz5
77435,100,0.5,la01
77435,100,0.8,ft10
77435,100,0.8,abz7
77435,100,0.8,ft20
77435,100,0.8,abz9
77435,100,0.8,la04
77435,100,0.8,la03
77435,100,0.8,abz6
77435,100,0.8,la02
77435,100,0.8,abz5
77435,100,0.8,la01
77435,100,0.9,ft10
77435,100,0.9,abz7
77435,100,0.9,ft20
77435,100,0.9,abz9
77435,100,0.9,la04
77435,100,0.9,la03
77435,100,0.9,abz6
77435,100,0.9,la02
77435,100,0.9,abz5
77435,100,0.9,la01
77435,200,0.5,ft10
77435,200,0.5,abz7
77435,200,0.5,ft20
77435,200,0.5,abz9
77435,200,0.5,la04
77435,200,0.5,la03
77435,200,0.5,abz6
77435,200,0.5,la02
77435,200,0.5,abz5
77435,200,0.5,la01
77435,200,0.8,ft10
77435,200,0.8,abz7
77435,200,0.8,ft20
77435,200,0.8,abz9
77435,200,0.8,la04
77435,200,0.8,la03
77435,200,0.8,abz6
77435,200,0.8,la02
77435,200,0.8,abz5
77435,200,0.8,la01
77435,200,0.9,ft10
77435,200,0.9,abz7
77435,200,0.9,ft20
77435,200,0.9,abz9
77435,200,0.9,la04
77435,200,0.9,la03
77435,200,0.9,abz6
77435,200,0.9,la02
77435,200,0.9,abz5
77435,200,0.9,la01
483850,100,0.5,ft10
483850,100,0.5,abz7
483850,100,0.5,ft20
483850,100,0.5,abz9
483850,100,0.5,la04
483850,100,0.5,la03
483850,100,0.5,abz6
483850,100,0.5,la02
483850,100,0.5,abz5
483850,100,0.5,la01
483850,100,0.8,ft10
483850,100,0.8,abz7
483850,100,0.8,ft20
483850,100,0.8,abz9
483850,100,0.8,la04
483850,100,0.8,la03
483850,100,0.8,abz6
483850,100,0.8,la02
483850,100,0.8,abz5
483850,100,0.8,la01
483850,100,0.9,ft10
483850,100,0.9,abz7
483850,100,0.9,ft20
483850,100,0.9,abz9
483850,100,0.9,la04
483850,100,0.9,la03
483850,100,0.9,abz6
483850,100,0.9,la02
483850,100,0.9,abz5
483850,100,0.9,la01
483850,200,0.5,ft10
483850,200,0.5,abz7
483850,200,0.5,ft20
483850,200,0.5,abz9
483850,200,0.5,la04
483850,200,0.5,la03
483850,200,0.5,abz6
483850,200,0.5,la02
483850,200,0.5,abz5
483850,200,0.5,la01
483850,200,0.8,ft10
483850,200,0.8,abz7
483850,200,0.8,ft20
483850,200,0.8,abz9
483850,200,0.8,la04
483850,200,0.8,la03
483850,200,0.8,abz6
483850,200,0.8,la02
483850,200,0.8,abz5
483850,200,0.8,la01
483850,200,0.9,ft10
483850,200,0.9,abz7
483850,200,0.9,ft20
483850,200,0.9,abz9
483850,200,0.9,la04
483850,200,0.9,la03
483850,200,0.9,abz6
483850,200,0.9,la02
483850,200,0.9,abz5
483850,200,0.9,la01
85765,100,0.5,ft10
85765,100,0.5,abz7
85765,100,0.5,ft20
85765,100,0.5,abz9
85765,100,0.5,la04
85765,100,0.5,la03
85765,100,0.5,abz6
85765,100,0.5,la02
85765,100,0.5,abz5
85765,100,0.5,la01
85765,100,0.8,ft10
85765,100,0.8,abz7
85765,100,0.8,ft20
85765,100,0.8,abz9
85765,100,0.8,la04
85765,100,0.8,la03
85765,100,0.8,abz6
85765,100,0.8,la02
85765,100,0.8,abz5
85765,100,0.8,la01
85765,100,0.9,ft10
85765,100,0.9,abz7
85765,100,0.9,ft20
85765,100,0.9,abz9
85765,100,0.9,la04
85765,100,0.9,la03
85765,100,0.9,abz6
85765,100,0.9,la02
85765,100,0.9,abz5
85765,100,0.9,la01
85765,200,0.5,ft10
85765,200,0.5,abz7
85765,200,0.5,ft20
85765,200,0.5,abz9
85765,200,0.5,la04
85765,200,0.5,la03
85765,200,0.5,abz6
85765,200,0.5,la02
85765,200,0.5,abz5
85765,200,0.5,la01
85765,200,0.8,ft10
85765,200,0.8,abz7
85765,200,0.8,ft20
85765,200,0.8,abz9
85765,200,0.8,la04
85765,200,0.8,la03
85765,200,0.8,abz6
85765,200,0.8,la02
85765,200,0.8,abz5
85765,200,0.8,la01
85765,200,0.9,ft10
85765,200,0.9,abz7
85765,200,0.9,ft20
85765,200,0.9,abz9
85765,200,0.9,la04
85765,200,0.9,la03
85765,200,0.9,abz6
85765,200,0.9,la02
85765,200,0.9,abz5
85765,200,0.9,la01
470922,100,0.5,ft10
470922,100,0.5,abz7
470922,100,0.5,ft20
470922,100,0.5,abz9
470922,100,0.5,la04
470922,100,0.5,la03
470922,100,0.5,abz6
470922,100,0.5,la02
470922,100,0.5,abz5
470922,100,0.5,la01
470922,100,0.8,ft10
470922,100,0.8,abz7
470922,100,0.8,ft20
470922,100,0.8,abz9
470922,100,0.8,la04
470922,100,0.8,la03
470922,100,0.8,abz6
470922,100,0.8,la02
470922,100,0.8,abz5
470922,100,0.8,la01
470922,100,0.9,ft10
470922,100,0.9,abz7
470922,100,0.9,ft20
470922,100,0.9,abz9
470922,100,0.9,la04
470922,100,0.9,la03
470922,100,0.9,abz6
470922,100,0.9,la02
470922,100,0.9,abz5
470922,100,0.9,la01
470922,200,0.5,ft10
470922,200,0.5,abz7
470922,200,0.5,ft20
470922,200,0.5,abz9
470922,200,0.5,la04
470922,200,0.5,la03
470922,200,0.5,abz6
470922,200,0.5,la02
470922,200,0.5,abz5
470922,200,0.5,la01
470922,200,0.8,ft10
470922,200,0.8,abz7
470922,200,0.8,ft20
470922,200,0.8,abz9
470922,200,0.8,la04
470922,200,0.8,la03
470922,200,0.8,abz6
470922,200,0.8,la02
470922,200,0.8,abz5
470922,200,0.8,la01
470922,200,0.9,ft10
470922,200,0.9,abz7
470922,200,0.9,ft20
470922,200,0.9,abz9
470922,200,0.9,la04
470922,200,0.9,la03
470922,200,0.9,abz6
470922,200,0.9,la02
470922,200,0.9,abz5
470922,200,0.9,la01
20611,100,0.5,ft10
20611,100,0.5,abz7
20611,100,0.5,ft20
20611,100,0.5,abz9
20611,100,0.5,la04
20611,100,0.5,la03
20611,100,0.5,abz6
20611,100,0.5,la02
20611,100,0.5,abz5
20611,100,0.5,la01
20611,100,0.8,ft10
20611,100,0.8,abz7
20611,100,0.8,ft20
20611,100,0.8,abz9
20611,100,0.8,la04
20611,100,0.8,la03
20611,100,0.8,abz6
20611,100,0.8,la02
20611,100,0.8,abz5
20611,100,0.8,la01
20611,100,0.9,ft10
20611,100,0.9,abz7
20611,100,0.9,ft20
20611,100,0.9,abz9
20611,100,0.9,la04
20611,100,0.9,la03
20611,100,0.9,abz6
20611,100,0.9,la02
20611,100,0.9,abz5
20611,100,0.9,la01
20611,200,0.5,ft10
20611,200,0.5,abz7
20611,200,0.5,ft20
20611,200,0.5,abz9
20611,200,0.5,la04
20611,200,0.5,la03
20611,200,0.5,abz6
20611,200,0.5,la02
20611,200,0.5,abz5
20611,200,0.5,la01
20611,200,0.8,ft10
20611,200,0.8,abz7
20611,200,0.8,ft20
20611,200,0.8,abz9
20611,200,0.8,la04
20611,200,0.8,la03
20611,200,0.8,abz6
20611,200,0.8,la02
20611,200,0.8,abz5
20611,200,0.8,la01
20611,200,0.9,ft10
20611,200,0.9,abz7
20611,200,0.9,ft20
20611,200,0.9,abz9
20611,200,0.9,la04
20611,200,0.9,la03
20611,200,0.9,abz6
20611,200,0.9,la02
20611,200,0.9,abz5
20611,200,0.9,la01
944889,100,0.5,ft10
944889,100,0.5,abz7
944889,100,0.5,ft20
944889,100,0.5,abz9
944889,100,0.5,la04
944889,100,0.5,la03
944889,100,0.5,abz6
944889,100,0.5,la02
944889,100,0.5,abz5
944889,100,0.5,la01
944889,100,0.8,ft10
944889,100,0.8,abz7
944889,100,0.8,ft20
944889,100,0.8,abz9
944889,100,0.8,la04
944889,100,0.8,la03
944889,100,0.8,abz6
944889,100,0.8,la02
944889,100,0.8,abz5
944889,100,0.8,la01
944889,100,0.9,ft10
944889,100,0.9,abz7
944889,100,0.9,ft20
944889,100,0.9,abz9
944889,100,0.9,la04
944889,100,0.9,la03
944889,100,0.9,abz6
944889,100,0.9,la02
944889,100,0.9,abz5
944889,100,0.9,la01
944889,200,0.5,ft10
944889,200,0.5,abz7
944889,200,0.5,ft20
944889,200,0.5,abz9
944889,200,0.5,la04
944889,200,0.5,la03
944889,200,0.5,abz6
944889,200,0.5,la02
944889,200,0.5,abz5
944889,200,0.5,la01
944889,200,0.8,ft10
944889,200,0.8,abz7
944889,200,0.8,ft20
944889,200,0.8,abz9
944889,200,0.8,la04
944889,200,0.8,la03
944889,200,0.8,abz6
944889,200,0.8,la02
944889,200,0.8,abz5
944889,200,0.8,la01
944889,200,0.9,ft10
944889,200,0.9,abz7
944889,200,0.9,ft20
944889,200,0.9,abz9
944889,200,0.9,la04
944889,200,0.9,la03
944889,200,0.9,abz6
944889,200,0.9,la02
944889,200,0.9,abz5
944889,200,0.9,la01
505272,100,0.5,ft10
505272,100,0.5,abz7
505272,100,0.5,ft20
505272,100,0.5,abz9
505272,100,0.5,la04
505272,100,0.5,la03
505272,100,0.5,abz6
505272,100,0.5,la02
505272,100,0.5,abz5
505272,100,0.5,la01
505272,100,0.8,ft10
505272,100,0.8,abz7
505272,100,0.8,ft20
505272,100,0.8,abz9
505272,100,0.8,la04
505272,100,0.8,la03
505272,100,0.8,abz6
505272,100,0.8,la02
505272,100,0.8,abz5
505272,100,0.8,la01
505272,100,0.9,ft10
505272,100,0.9,abz7
505272,100,0.9,ft20
505272,100,0.9,abz9
505272,100,0.9,la04
505272,100,0.9,la03
505272,100,0.9,abz6
505272,100,0.9,la02
505272,100,0.9,abz5
505272,100,0.9,la01
505272,200,0.5,ft10
505272,200,0.5,abz7
505272,200,0.5,ft20
505272,200,0.5,abz9
505272,200,0.5,la04
505272,200,0.5,la03
505272,200,0.5,abz6
505272,200,0.5,la02
505272,200,0.5,abz5
505272,200,0.5,la01
505272,200,0.8,ft10
505272,200,0.8,abz7
505272,200,0.8,ft20
505272,200,0.8,abz9
505272,200,0.8,la04
505272,200,0.8,la03
505272,200,0.8,abz6
505272,200,0.8,la02
505272,200,0.8,abz5
505272,200,0.8,la01
505272,200,0.9,ft10
505272,200,0.9,abz7
505272,200,0.9,ft20
505272,200,0.9,abz9
505272,200,0.9,la04
505272,200,0.9,la03
505272,200,0.9,abz6
505272,200,0.9,la02
505272,200,0.9,abz5
505272,200,0.9,la01
411031,100,0.5,ft10
411031,100,0.5,abz7
411031,100,0.5,ft20
411031,100,0.5,abz9
411031,100,0.5,la04
411031,100,0.5,la03
411031,100,0.5,abz6
411031,100,0.5,la02
411031,100,0.5,abz5
411031,100,0.5,la01
411031,100,0.8,ft10
411031,100,0.8,abz7
411031,100,0.8,ft20
411031,100,0.8,abz9
411031,100,0.8,la04
411031,100,0.8,la03
411031,100,0.8,abz6
411031,100,0.8,la02
411031,100,0.8,abz5
411031,100,0.8,la01
411031,100,0.9,ft10
411031,100,0.9,abz7
411031,100,0.9,ft20
411031,100,0.9,abz9
411031,100,0.9,la04
411031,100,0.9,la03
411031,100,0.9,abz6
411031,100,0.9,la02
411031,100,0.9,abz5
411031,100,0.9,la01
411031,200,0.5,ft10
411031,200,0.5,abz7
411031,200,0.5,ft20
411031,200,0.5,abz9
411031,200,0.5,la04
411031,200,0.5,la03
411031,200,0.5,abz6
411031,200,0.5,la02
411031,200,0.5,abz5
411031,200,0.5,la01
411031,200,0.8,ft10
411031,200,0.8,abz7
411031,200,0.8,ft20
411031,200,0.8,abz9
411031,200,0.8,la04
411031,200,0.8,la03
411031,200,0.8,abz6
411031,200,0.8,la02
411031,200,0.8,abz5
411031,200,0.8,la01
411031,200,0.9,ft10
411031,200,0.9,abz7
411031,200,0.9,ft20
411031,200,0.9,abz9
411031,200,0.9,la04
411031,200,0.9,la03
411031,200,0.9,abz6
411031,200,0.9,la02
411031,200,0.9,abz5
411031,200,0.9,la01
948152,100,0.5,ft10
948152,100,0.5,abz7
948152,100,0.5,ft20
948152,100,0.5,abz9
948152,100,0.5,la04
948152,100,0.5,la03
948152,100,0.5,abz6
948152,100,0.5,la02
948152,100,0.5,abz5
948152,100,0.5,la01
948152,100,0.8,ft10
948152,100,0.8,abz7
948152,100,0.8,ft20
948152,100,0.8,abz9
948152,100,0.8,la04
948152,100,0.8,la03
948152,100,0.8,abz6
948152,100,0.8,la02
948152,100,0.8,abz5
948152,100,0.8,la01
948152,100,0.9,ft10
948152,100,0.9,abz7
948152,100,0.9,ft20
948152,100,0.9,abz9
948152,100,0.9,la04
948152,100,0.9,la03
948152,100,0.9,abz6
948152,100,0.9,la02
948152,100,0.9,abz5
948152,100,0.9,la01
948152,200,0.5,ft10
948152,200,0.5,abz7
948152,200,0.5,ft20
948152,200,0.5,abz9
948152,200,0.5,la04
948152,200,0.5,la03
948152,200,0.5,abz6
948152,200,0.5,la02
948152,200,0.5,abz5
948152,200,0.5,la01
948152,200,0.8,ft10
948152,200,0.8,abz7
948152,200,0.8,ft20
948152,200,0.8,abz9
948152,200,0.8,la04
948152,200,0.8,la03
948152,200,0.8,abz6
948152,200,0.8,la02
948152,200,0.8,abz5
948152,200,0.8,la01
948152,200,0.9,ft10
948152,200,0.9,abz7
948152,200,0.9,ft20
948152,200,0.9,abz9
948152,200,0.9,la04
948152,200,0.9,la03
948152,200,0.9,abz6
948152,200,0.9,la02
948152,200,0.9,abz5
948152,200,0.9,la01
10080,100,0.5,ft10
10080,100,0.5,abz7
10080,100,0.5,ft20
10080,100,0.5,abz9
10080,100,0.5,la04
10080,100,0.5,la03
10080,100,0.5,abz6
10080,100,0.5,la02
10080,100,0.5,abz5
10080,100,0.5,la01
10080,100,0.8,ft10
10080,100,0.8,abz7
10080,100,0.8,ft20
10080,100,0.8,abz9
10080,100,0.8,la04
10080,100,0.8,la03
10080,100,0.8,abz6
10080,100,0.8,la02
10080,100,0.8,abz5
10080,100,0.8,la01
10080,100,0.9,ft10
10080,100,0.9,abz7
10080,100,0.9,ft20
10080,100,0.9,abz9
10080,100,0.9,la04
10080,100,0.9,la03
10080,100,0.9,abz6
10080,100,0.9,la02
10080,100,0.9,abz5
10080,100,0.9,la01
10080,200,0.5,ft10
10080,200,0.5,abz7
10080,200,0.5,ft20
10080,200,0.5,abz9
10080,200,0.5,la04
10080,200,0.5,la03
10080,200,0.5,abz6
10080,200,0.5,la02
10080,200,0.5,abz5
10080,200,0.5,la01
10080,200,0.8,ft10
10080,200,0.8,abz7
10080,200,0.8,ft20
10080,200,0.8,abz9
10080,200,0.8,la04
10080,200,0.8,la03
10080,200,0.8,abz6
10080,200,0.8,la02
10080,200,0.8,abz5
10080,200,0.8,la01
10080,200,0.9,ft10
10080,200,0.9,abz7
10080,200,0.9,ft20
10080,200,0.9,abz9
10080,200,0.9,la04
10080,200,0.9,la03
10080,200,0.9,abz6
10080,200,0.9,la02
10080,200,0.9,abz5
10080,200,0.9,la01
757870,100,0.5,ft10
757870,100,0.5,abz7
757870,100,0.5,ft20
757870,100,0.5,abz9
757870,100,0.5,la04
757870,100,0.5,la03
757870,100,0.5,abz6
757870,100,0.5,la02
757870,100,0.5,abz5
757870,100,0.5,la01
757870,100,0.8,ft10
757870,100,0.8,abz7
757870,100,0.8,ft20
757870,100,0.8,abz9
757870,100,0.8,la04
757870,100,0.8,la03
757870,100,0.8,abz6
757870,100,0.8,la02
757870,100,0.8,abz5
757870,100,0.8,la01
757870,100,0.9,ft10
757870,100,0.9,abz7
757870,100,0.9,ft20
757870,100,0.9,abz9
757870,100,0.9,la04
757870,100,0.9,la03
757870,100,0.9,abz6
757870,100,0.9,la02
757870,100,0.9,abz5
757870,100,0.9,la01
757870,200,0.5,ft10
757870,200,0.5,abz7
757870,200,0.5,ft20
757870,200,0.5,abz9
757870,200,0.5,la04
757870,200,0.5,la03
757870,200,0.5,abz6
757870,200,0.5,la02
757870,200,0.5,abz5
757870,200,0.5,la01
757870,200,0.8,ft10
757870,200,0.8,abz7
757870,200,0.8,ft20
757870,200,0.8,abz9
757870,200,0.8,la04
757870,200,0.8,la03
757870,200,0.8,abz6
757870,200,0.8,la02
757870,200,0.8,abz5
757870,200,0.8,la01
757870,200,0.9,ft10
757870,200,0.9,abz7
757870,200,0.9,ft20
757870,200,0.9,abz9
757870,200,0.9,la04
757870,200,0.9,la03
757870,200,0.9,abz6
757870,200,0.9,la02
757870,200,0.9,abz5
757870,200,0.9,la01
61306,100,0.5,ft10
61306,100,0.5,abz7
61306,100,0.5,ft20
61306,100,0.5,abz9
61306,100,0.5,la04
61306,100,0.5,la03
61306,100,0.5,abz6
61306,100,0.5,la02
61306,100,0.5,abz5
61306,100,0.5,la01
61306,100,0.8,ft10
61306,100,0.8,abz7
61306,100,0.8,ft20
61306,100,0.8,abz9
61306,100,0.8,la04
61306,100,0.8,la03
61306,100,0.8,abz6
61306,100,0.8,la02
61306,100,0.8,abz5
61306,100,0.8,la01
61306,100,0.9,ft10
61306,100,0.9,abz7
61306,100,0.9,ft20
61306,100,0.9,abz9
61306,100,0.9,la04
61306,100,0.9,la03
61306,100,0.9,abz6
61306,100,0.9,la02
61306,100,0.9,abz5
61306,100,0.9,la01
61306,200,0.5,ft10
61306,200,0.5,abz7
61306,200,0.5,ft20
61306,200,0.5,abz9
61306,200,0.5,la04
61306,200,0.5,la03
61306,200,0.5,abz6
61306,200,0.5,la02
61306,200,0.5,abz5
61306,200,0.5,la01
61306,200,0.8,ft10
61306,200,0.8,abz7
61306,200,0.8,ft20
61306,200,0.8,abz9
61306,200,0.8,la04
61306,200,0.8,la03
61306,200,0.8,abz6
61306,200,0.8,la02
61306,200,0.8,abz5
61306,200,0.8,la01
61306,200,0.9,ft10
61306,200,0.9,abz7
61306,200,0.9,ft20
61306,200,0.9,abz9
61306,200,0.9,la04
61306,200,0.9,la03
61306,200,0.9,abz6
61306,200,0.9,la02
61306,200,0.9,abz5
61306,200,0.9,la01
873184,100,0.5,ft10
873184,100,0.5,abz7
873184,100,0.5,ft20
873184,100,0.5,abz9
873184,100,0.5,la04
873184,100,0.5,la03
873184,100,0.5,abz6
873184,100,0.5,la02
873184,100,0.5,abz5
873184,100,0.5,la01
873184,100,0.8,ft10
873184,100,0.8,abz7
873184,100,0.8,ft20
873184,100,0.8,abz9
873184,100,0.8,la04
873184,100,0.8,la03
873184,100,0.8,abz6
873184,100,0.8,la02
873184,100,0.8,abz5
873184,100,0.8,la01
873184,100,0.9,ft10
873184,100,0.9,abz7
873184,100,0.9,ft20
873184,100,0.9,abz9
873184,100,0.9,la04
873184,100,0.9,la03
873184,100,0.9,abz6
873184,100,0.9,la02
873184,100,0.9,abz5
873184,100,0.9,la01
873184,200,0.5,ft10
873184,200,0.5,abz7
873184,200,0.5,ft20
873184,200,0.5,abz9
873184,200,0.5,la04
873184,200,0.5,la03
873184,200,0.5,abz6
873184,200,0.5,la02
873184,200,0.5,abz5
873184,200,0.5,la01
873184,200,0.8,ft10
873184,200,0.8,abz7
873184,200,0.8,ft20
873184,200,0.8,abz9
873184,200,0.8,la04
873184,200,0.8,la03
873184,200,0.8,abz6
873184,200,0.8,la02
873184,200,0.8,abz5
873184,200,0.8,la01
873184,200,0.9,ft10
873184,200,0.9,abz7
873184,200,0.9,ft20
873184,200,0.9,abz9
873184,200,0.9,la04
873184,200,0.9,la03
873184,200,0.9,abz6
873184,200,0.9,la02
873184,200,0.9,abz5
873184,200,0.9,la01
454362,100,0.5,ft10
454362,100,0.5,abz7
454362,100,0.5,ft20
454362,100,0.5,abz9
454362,100,0.5,la04
454362,100,0.5,la03
454362,100,0.5,abz6
454362,100,0.5,la02
454362,100,0.5,abz5
454362,100,0.5,la01
454362,100,0.8,ft10
454362,100,0.8,abz7
454362,100,0.8,ft20
454362,100,0.8,abz9
454362,100,0.8,la04
454362,100,0.8,la03
454362,100,0.8,abz6
454362,100,0.8,la02
454362,100,0.8,abz5
454362,100,0.8,la01
454362,100,0.9,ft10
454362,100,0.9,abz7
454362,100,0.9,ft20
454362,100,0.9,abz9
454362,100,0.9,la04
454362,100,0.9,la03
454362,100,0.9,abz6
454362,100,0.9,la02
454362,100,0.9,abz5
454362,100,0.9,la01
454362,200,0.5,ft10
454362,200,0.5,abz7
454362,200,0.5,ft20
454362,200,0.5,abz9
454362,200,0.5,la04
454362,200,0.5,la03
454362,200,0.5,abz6
454362,200,0.5,la02
454362,200,0.5,abz5
454362,200,0.5,la01
454362,200,0.8,ft10
454362,200,0.8,abz7
454362,200,0.8,ft20
454362,200,0.8,abz9
454362,200,0.8,la04
454362,200,0.8,la03
454362,200,0.8,abz6
454362,200,0.8,la02
454362,200,0.8,abz5
454362,200,0.8,la01
454362,200,0.9,ft10
454362,200,0.9,abz7
454362,200,0.9,ft20
454362,200,0.9,abz9
454362,200,0.9,la04
454362,200,0.9,la03
454362,200,0.9,abz6
454362,200,0.9,la02
454362,200,0.9,abz5
454362,200,0.9,la01
598795,100,0.5,ft10
598795,100,0.5,abz7
598795,100,0.5,ft20
598795,100,0.5,abz9
598795,100,0.5,la04
598795,100,0.5,la03
598795,100,0.5,abz6
598795,100,0.5,la02
598795,100,0.5,abz5
598795,100,0.5,la01
598795,100,0.8,ft10
598795,100,0.8,abz7
598795,100,0.8,ft20
598795,100,0.8,abz9
598795,100,0.8,la04
598795,100,0.8,la03
598795,100,0.8,abz6
598795,100,0.8,la02
598795,100,0.8,abz5
598795,100,0.8,la01
598795,100,0.9,ft10
598795,100,0.9,abz7
598795,100,0.9,ft20
598795,100,0.9,abz9
598795,100,0.9,la04
598795,100,0.9,la03
598795,100,0.9,abz6
598795,100,0.9,la02
598795,100,0.9,abz5
598795,100,0.9,la01
598795,200,0.5,ft10
598795,200,0.5,abz7
598795,200,0.5,ft20
598795,200,0.5,abz9
598795,200,0.5,la04
598795,200,0.5,la03
598795,200,0.5,abz6
598795,200,0.5,la02
598795,200,0.5,abz5
598795,200,0.5,la01
598795,200,0.8,ft10
598795,200,0.8,abz7
598795,200,0.8,ft20
598795,200,0.8,abz9
598795,200,0.8,la04
598795,200,0.8,la03
598795,200,0.8,abz6
598795,200,0.8,la02
598795,200,0.8,abz5
598795,200,0.8,la01
598795,200,0.9,ft10
598795,200,0.9,abz7
598795,200,0.9,ft20
598795,200,0.9,abz9
598795,200,0.9,la04
598795,200,0.9,la03
598795,200,0.9,abz6
598795,200,0.9,la02
598795,200,0.9,abz5
598795,200,0.9,la01
464997,100,0.5,ft10
464997,100,0.5,abz7
464997,100,0.5,ft20
464997,100,0.5,abz9
464997,100,0.5,la04
464997,100,0.5,la03
464997,100,0.5,abz6
464997,100,0.5,la02
464997,100,0.5,abz5
464997,100,0.5,la01
464997,100,0.8,ft10
464997,100,0.8,abz7
464997,100,0.8,ft20
464997,100,0.8,abz9
464997,100,0.8,la04
464997,100,0.8,la03
464997,100,0.8,abz6
464997,100,0.8,la02
464997,100,0.8,abz5
464997,100,0.8,la01
464997,100,0.9,ft10
464997,100,0.9,abz7
464997,100,0.9,ft20
464997,100,0.9,abz9
464997,100,0.9,la04
464997,100,0.9,la03
464997,100,0.9,abz6
464997,100,0.9,la02
464997,100,0.9,abz5
464997,100,0.9,la01
464997,200,0.5,ft10
464997,200,0.5,abz7
464997,200,0.5,ft20
464997,200,0.5,abz9
464997,200,0.5,la04
464997,200,0.5,la03
464997,200,0.5,abz6
464997,200,0.5,la02
464997,200,0.5,abz5
464997,200,0.5,la01
464997,200,0.8,ft10
464997,200,0.8,abz7
464997,200,0.8,ft20
464997,200,0.8,abz9
464997,200,0.8,la04
464997,200,0.8,la03
464997,200,0.8,abz6
464997,200,0.8,la02
464997,200,0.8,abz5
464997,200,0.8,la01
464997,200,0.9,ft10
464997,200,0.9,abz7
464997,200,0.9,ft20
464997,200,0.9,abz9
464997,200,0.9,la04
464997,200,0.9,la03
464997,200,0.9,abz6
464997,200,0.9,la02
464997,200,0.9,abz5
464997,200,0.9,la01
741519,100,0.5,ft10
741519,100,0.5,abz7
741519,100,0.5,ft20
741519,100,0.5,abz9
741519,100,0.5,la04
741519,100,0.5,la03
741519,100,0.5,abz6
741519,100,0.5,la02
741519,100,0.5,abz5
741519,100,0.5,la01
741519,100,0.8,ft10
741519,100,0.8,abz7
741519,100,0.8,ft20
741519,100,0.8,abz9
741519,100,0.8,la04
741519,100,0.8,la03
741519,100,0.8,abz6
741519,100,0.8,la02
741519,100,0.8,abz5
741519,100,0.8,la01
741519,100,0.9,ft10
741519,100,0.9,abz7
741519,100,0.9,ft20
741519,100,0.9,abz9
741519,100,0.9,la04
741519,100,0.9,la03
741519,100,0.9,abz6
741519,100,0.9,la02
