dataset,cost,seed,pop_size,ngen,mut_rate,cross_rate,timeout,slurm
abz5,1364,214051,200,5000,0.6,0.3,300,39079
abz5,1308,768041,100,5000,0.1,0.1,300,56259
abz5,1363,515381,1000,5000,0.2,0.4,300,15429
abz5,1325,214051,200,5000,0.6,0.2,300,39069
abz5,1299,768041,100,5000,0.1,0.2,300,56269
abz5,1388,533382,500,5000,0.4,0.4,300,21879
abz5,1336,768041,100,5000,0.1,0.3,300,56279
abz5,1375,515381,1000,5000,0.2,0.7,300,15459
abz5,1401,689086,1000,5000,0.6,0.3,300,56179
abz5,1339,214051,200,5000,0.9,0.1,300,39149
abz5,1398,689086,1000,5000,0.6,0.2,300,56169
abz5,1346,214051,300,5000,0.1,0.9,300,39239
abz5,1405,689086,1000,5000,0.4,0.4,300,56079
abz5,1399,515381,1000,5000,0.3,0.3,300,15499
abz5,1344,214051,300,5000,0.1,0.8,300,39229
abz5,1346,689086,1000,5000,0.4,0.5,300,56089
abz5,1342,960512,300,5000,0.3,0.4,300,5609
abz5,1361,214051,300,5000,0.1,0.7,300,39219
abz5,1382,689086,1000,5000,0.4,0.6,300,56099
abz5,1391,533382,500,5000,0.3,0.5,300,21819
abz5,1373,237663,500,5000,0.3,0.3,300,1549
abz5,1369,515381,1000,5000,0.3,0.2,300,15489
abz5,1371,214051,300,5000,0.1,0.6,300,39209
abz5,1402,689086,1000,5000,0.5,0.1,300,56109
abz5,1333,768041,100,5000,0.1,0.4,300,56289
abz5,1348,214051,300,5000,0.1,0.5,300,39199
abz5,1387,533382,500,5000,0.3,0.6,300,21829
abz5,1387,689086,1000,5000,0.5,0.3,300,56129
abz5,1360,515381,1000,5000,0.3,0.1,300,15479
abz5,1382,51673,500,5000,0.5,0.2,300,3919
abz5,1320,214051,300,5000,0.1,0.4,300,39189
abz5,1395,689086,1000,5000,0.5,0.4,300,56139
abz5,1315,214051,300,5000,0.1,0.3,300,39179
abz5,1371,689086,1000,5000,0.5,0.5,300,56149
abz5,1388,214051,300,5000,0.1,0.2,300,39169
abz5,1400,515381,1000,5000,0.2,0.8,300,15469
abz5,1395,689086,1000,5000,0.6,0.1,300,56159
abz5,1393,533382,500,5000,0.3,0.7,300,21839
abz5,1338,214051,300,5000,0.1,0.1,300,39159
abz5,1375,689086,1000,5000,0.5,0.2,300,56119
abz5,1344,768041,200,5000,0.1,0.2,300,56719
abz5,1384,533382,500,5000,0.7,0.3,300,22019
abz5,1327,214051,100,5000,0.8,0.2,300,38689
abz5,1372,768041,300,5000,0.2,0.4,300,57279
abz5,1402,51673,500,5000,0.3,0.5,300,3819
abz5,1357,222918,1000,5000,0.6,0.4,300,38189
abz5,1349,768041,300,5000,0.2,0.5,300,57289
abz5,1356,960512,300,5000,0.5,0.3,300,5729
abz5,1362,768041,300,5000,0.2,0.6,300,57299
abz5,1387,515381,500,5000,0.3,0.2,300,15039
abz5,1380,533382,1000,5000,0.2,0.7,300,22209
abz5,1415,222918,1000,5000,0.6,0.3,300,38179
abz5,1358,768041,300,5000,0.2,0.7,300,57309
abz5,1394,222918,1000,5000,0.6,0.2,300,38169
abz5,1362,768041,300,5000,0.2,0.8,300,57319
abz5,1407,222918,1000,5000,0.6,0.1,300,38159
abz5,1366,515381,500,5000,0.3,0.1,300,15029
abz5,1332,768041,300,5000,0.3,0.1,300,57329
abz5,1401,533382,1000,5000,0.2,0.8,300,22219
abz5,1386,222918,1000,5000,0.5,0.5,300,38149
abz5,1329,768041,300,5000,0.3,0.2,300,57339
abz5,1386,222918,1000,5000,0.5,0.4,300,38139
abz5,1345,768041,300,5000,0.3,0.3,300,57349
abz5,1395,222918,1000,5000,0.5,0.3,300,38129
abz5,1375,515381,500,5000,0.2,0.8,300,15019
abz5,1366,768041,300,5000,0.3,0.4,300,57359
abz5,1375,533382,1000,5000,0.3,0.1,300,22229
abz5,1330,768041,300,5000,0.3,0.5,300,57369
abz5,1396,222918,1000,5000,0.5,0.2,300,38119
abz5,1392,222918,1000,5000,0.5,0.1,300,38109
abz5,1382,222918,1000,5000,0.7,0.1,300,38199
abz5,1319,768041,300,5000,0.3,0.6,300,57379
abz5,1376,515381,500,5000,0.3,0.3,300,15049
abz5,1362,768041,300,5000,0.2,0.3,300,57269
abz5,1374,515381,500,5000,0.3,0.7,300,15089
abz5,1298,214051,100,5000,0.1,0.4,300,38289
abz5,1353,768041,300,5000,0.1,0.3,300,57179
abz5,1397,533382,1000,5000,0.2,0.3,300,22169
abz5,1357,768041,300,5000,0.1,0.4,300,57189
abz5,1353,960512,300,5000,0.5,0.2,300,5719
abz5,1295,214051,100,5000,0.1,0.3,300,38279
abz5,1376,515381,500,5000,0.3,0.6,300,15079
abz5,1354,768041,300,5000,0.1,0.5,300,57199
abz5,1319,214051,100,5000,0.1,0.2,300,38269
abz5,1360,768041,300,5000,0.1,0.6,300,57209
abz5,1382,533382,1000,5000,0.2,0.4,300,22179
abz5,1288,214051,100,5000,0.1,0.1,300,38259
abz5,1326,768041,300,5000,0.1,0.7,300,57219
abz5,1371,515381,500,5000,0.3,0.5,300,15069
abz5,1369,222918,1000,5000,0.9,0.1,300,38249
abz5,1382,222918,1000,5000,0.8,0.2,300,38239
abz5,1353,768041,300,5000,0.1,0.8,300,57229
abz5,1401,533382,1000,5000,0.2,0.5,300,22189
abz5,1339,768041,300,5000,0.1,0.9,300,57239
abz5,1381,237663,1000,5000,0.7,0.3,300,2219
abz5,1359,222918,1000,5000,0.8,0.1,300,38229
abz5,1348,515381,500,5000,0.3,0.4,300,15059
abz5,1353,768041,300,5000,0.2,0.1,300,57249
abz5,1435,222918,1000,5000,0.7,0.3,300,38219
abz5,1341,768041,300,5000,0.2,0.2,300,57259
abz5,1392,222918,1000,5000,0.7,0.2,300,38209
abz5,1367,533382,1000,5000,0.2,0.6,300,22199
abz5,1372,515381,500,5000,0.2,0.7,300,15009
abz5,1387,222918,1000,5000,0.4,0.6,300,38099
abz5,1376,768041,300,5000,0.3,0.7,300,57389
abz5,1370,222918,1000,5000,0.3,0.3,300,37999
abz5,1348,768041,300,5000,0.6,0.1,300,57509
abz5,1401,533382,1000,5000,0.3,0.6,300,22279
abz5,1331,768041,300,5000,0.6,0.2,300,57519
abz5,1385,515381,500,5000,0.2,0.2,300,14959
abz5,1387,51673,500,5000,0.3,0.3,300,3799
abz5,1407,222918,1000,5000,0.3,0.2,300,37989
abz5,1394,222918,1000,5000,0.3,0.1,300,37979
abz5,1365,768041,300,5000,0.6,0.3,300,57529
abz5,1341,768041,300,5000,0.6,0.4,300,57539
abz5,1367,222918,1000,5000,0.2,0.8,300,37969
abz5,1340,515381,500,5000,0.2,0.1,300,14949
abz5,1371,768041,300,5000,0.7,0.1,300,57549
abz5,1405,533382,1000,5000,0.3,0.7,300,22289
abz5,1386,237663,1000,5000,0.8,0.1,300,2229
abz5,1361,768041,300,5000,0.7,0.2,300,57559
abz5,1399,222918,1000,5000,0.2,0.7,300,37959
abz5,1352,768041,300,5000,0.7,0.3,300,57569
abz5,1379,222918,1000,5000,0.2,0.6,300,37949
abz5,1368,515381,500,5000,0.1,0.9,300,14939
abz5,1379,533382,1000,5000,0.4,0.1,300,22299
abz5,1358,768041,300,5000,0.8,0.1,300,57579
abz5,1399,222918,1000,5000,0.2,0.5,300,37939
abz5,1373,768041,300,5000,0.8,0.2,300,57589
abz5,1348,960512,300,5000,0.6,0.1,300,5759
abz5,1383,222918,1000,5000,0.2,0.4,300,37929
abz5,1354,768041,300,5000,0.9,0.1,300,57599
abz5,1377,768041,300,5000,0.5,0.5,300,57499
abz5,1366,222918,1000,5000,0.3,0.4,300,38009
abz5,1362,515381,500,5000,0.2,0.3,300,14969
abz5,1327,960512,300,5000,0.5,0.5,300,5749
abz5,1339,960512,300,5000,0.5,0.4,300,5739
abz5,1401,533382,1000,5000,0.3,0.2,300,22239
abz5,1378,768041,300,5000,0.4,0.1,300,57399
abz5,1343,51673,500,5000,0.3,0.4,300,3809
abz5,1351,222918,1000,5000,0.4,0.5,300,38089
abz5,1375,768041,300,5000,0.4,0.2,300,57409
abz5,1397,222918,1000,5000,0.4,0.4,300,38079
abz5,1400,515381,500,5000,0.2,0.6,300,14999
abz5,1347,768041,300,5000,0.4,0.3,300,57419
abz5,1350,533382,1000,5000,0.3,0.3,300,22249
abz5,1337,768041,300,5000,0.4,0.4,300,57429
abz5,1371,222918,1000,5000,0.4,0.3,300,38069
abz5,1358,768041,300,5000,0.4,0.5,300,57439
abz5,1376,237663,500,5000,0.2,0.7,300,1509
abz5,1368,237663,500,5000,0.2,0.6,300,1499
abz5,1395,222918,1000,5000,0.4,0.2,300,38059
abz5,1375,222918,1000,5000,0.4,0.1,300,38049
abz5,1339,768041,300,5000,0.4,0.6,300,57449
abz5,1350,768041,300,5000,0.5,0.1,300,57459
abz5,1397,533382,1000,5000,0.3,0.4,300,22259
abz5,1398,222918,1000,5000,0.3,0.7,300,38039
abz5,1352,768041,300,5000,0.5,0.2,300,57469
abz5,1388,515381,500,5000,0.2,0.4,300,14979
abz5,1392,222918,1000,5000,0.3,0.6,300,38029
abz5,1327,768041,300,5000,0.5,0.3,300,57479
abz5,1378,222918,1000,5000,0.3,0.5,300,38019
abz5,1364,533382,1000,5000,0.3,0.5,300,22269
abz5,1366,768041,300,5000,0.5,0.4,300,57489
abz5,1377,515381,500,5000,0.2,0.5,300,14989
abz5,1364,51673,500,5000,0.3,0.6,300,3829
abz5,1330,768041,300,5000,0.1,0.2,300,57169
abz5,1332,214051,100,5000,0.1,0.5,300,38299
abz5,1298,214051,100,5000,0.5,0.3,300,38579
abz5,1364,768041,200,5000,0.2,0.6,300,56849
abz5,1357,515381,500,5000,0.6,0.1,300,15209
abz5,1312,214051,100,5000,0.5,0.2,300,38569
abz5,1369,768041,200,5000,0.2,0.7,300,56859
abz5,1344,214051,100,5000,0.5,0.1,300,38559
abz5,1350,768041,200,5000,0.2,0.8,300,56869
abz5,1390,533382,1000,5000,0.1,0.2,300,22069
abz5,1349,768041,200,5000,0.3,0.1,300,56879
abz5,1368,515381,500,5000,0.5,0.5,300,15199
abz5,1315,214051,100,5000,0.4,0.6,300,38549
abz5,1350,768041,200,5000,0.3,0.2,300,56889
abz5,1360,960512,300,5000,0.4,0.5,300,5689
abz5,1288,214051,100,5000,0.4,0.5,300,38539
abz5,1350,768041,200,5000,0.3,0.3,300,56899
abz5,1334,237663,200,5000,0.2,0.3,300,569
abz5,1376,237663,500,5000,0.2,0.8,300,1519
abz5,1361,515381,500,5000,0.5,0.4,300,15189
abz5,1282,214051,100,5000,0.4,0.4,300,38529
abz5,1394,533382,1000,5000,0.1,0.3,300,22079
abz5,1346,768041,200,5000,0.3,0.4,300,56909
abz5,1309,214051,100,5000,0.4,0.3,300,38519
abz5,1374,768041,200,5000,0.3,0.5,300,56919
abz5,1310,214051,100,5000,0.4,0.2,300,38509
abz5,1364,768041,200,5000,0.3,0.6,300,56929
abz5,1342,515381,500,5000,0.5,0.3,300,15179
abz5,1358,533382,1000,5000,0.1,0.4,300,22089
abz5,1370,533382,1000,5000,0.1,0.1,300,22059
abz5,1363,768041,200,5000,0.2,0.5,300,56839
abz5,1322,768041,200,5000,0.2,0.4,300,56829
abz5,1314,214051,100,5000,0.5,0.4,300,38589
abz5,1301,214051,100,5000,0.8,0.1,300,38679
abz5,1329,768041,200,5000,0.1,0.3,300,56729
abz5,1335,768041,200,5000,0.1,0.4,300,56739
abz5,1275,214051,100,5000,0.7,0.3,300,38669
abz5,1387,515381,500,5000,0.7,0.1,300,15249
abz5,1342,768041,200,5000,0.1,0.5,300,56749
abz5,1394,533382,500,5000,0.8,0.1,300,22029
abz5,1323,214051,100,5000,0.7,0.2,300,38659
abz5,1353,768041,200,5000,0.1,0.6,300,56759
abz5,1290,214051,100,5000,0.7,0.1,300,38649
abz5,1355,768041,200,5000,0.1,0.7,300,56769
abz5,1384,515381,500,5000,0.6,0.4,300,15239
abz5,1327,214051,100,5000,0.6,0.4,300,38639
abz5,1368,237663,1000,5000,0.7,0.2,300,2209
abz5,1355,768041,200,5000,0.1,0.8,300,56779
abz5,1309,214051,100,5000,0.6,0.3,300,38629
abz5,1345,768041,200,5000,0.1,0.9,300,56789
abz5,1352,960512,300,5000,0.4,0.4,300,5679
abz5,1318,214051,100,5000,0.6,0.2,300,38619
abz5,1396,515381,500,5000,0.6,0.3,300,15229
abz5,1339,768041,200,5000,0.2,0.1,300,56799
abz5,1273,214051,100,5000,0.6,0.1,300,38609
abz5,1353,768041,200,5000,0.2,0.2,300,56809
abz5,1372,533382,500,5000,0.9,0.1,300,22049
abz5,1369,768041,200,5000,0.2,0.3,300,56819
abz5,1300,214051,100,5000,0.5,0.5,300,38599
abz5,1379,515381,500,5000,0.6,0.2,300,15219
abz5,1344,51673,500,5000,0.4,0.2,300,3859
abz5,1397,533382,500,5000,0.8,0.2,300,22039
abz5,1403,533382,500,5000,0.2,0.5,300,21739
abz5,1336,768041,200,5000,0.3,0.7,300,56939
abz5,1381,768041,200,5000,0.4,0.1,300,56949
abz5,1319,515381,500,5000,0.4,0.4,300,15129
abz5,1294,214051,100,5000,0.2,0.5,300,38389
abz5,1353,768041,200,5000,0.6,0.2,300,57069
abz5,1313,214051,100,5000,0.2,0.4,300,38379
abz5,1326,768041,200,5000,0.6,0.3,300,57079
abz5,1352,214051,100,5000,0.2,0.3,300,38369
abz5,1309,768041,200,5000,0.6,0.4,300,57089
abz5,1387,515381,500,5000,0.4,0.3,300,15119
abz5,1359,960512,300,5000,0.5,0.1,300,5709
abz5,1391,533382,1000,5000,0.1,0.9,300,22139
abz5,1319,214051,100,5000,0.2,0.2,300,38359
abz5,1323,768041,200,5000,0.7,0.1,300,57099
abz5,1299,214051,100,5000,0.2,0.1,300,38349
abz5,1360,768041,200,5000,0.7,0.2,300,57109
abz5,1341,515381,500,5000,0.4,0.2,300,15109
abz5,1393,768041,200,5000,0.7,0.3,300,57119
abz5,1325,214051,100,5000,0.1,0.9,300,38339
abz5,1334,533382,1000,5000,0.2,0.1,300,22149
abz5,1329,214051,100,5000,0.1,0.8,300,38329
abz5,1365,768041,200,5000,0.8,0.1,300,57129
abz5,1347,214051,100,5000,0.1,0.7,300,38319
abz5,1349,768041,200,5000,0.8,0.2,300,57139
abz5,1343,515381,500,5000,0.4,0.1,300,15099
abz5,1311,768041,200,5000,0.9,0.1,300,57149
abz5,1390,533382,1000,5000,0.2,0.2,300,22159
abz5,1334,214051,100,5000,0.1,0.6,300,38309
abz5,1359,768041,300,5000,0.1,0.1,300,57159
abz5,1392,51673,500,5000,0.3,0.7,300,3839
abz5,1360,768041,200,5000,0.6,0.1,300,57059
abz5,1349,533382,1000,5000,0.1,0.8,300,22129
abz5,1353,768041,200,5000,0.5,0.5,300,57049
abz5,1370,51673,500,5000,0.4,0.1,300,3849
abz5,1291,214051,100,5000,0.3,0.7,300,38489
abz5,1389,515381,500,5000,0.5,0.2,300,15169
abz5,1328,768041,200,5000,0.4,0.2,300,56959
abz5,1341,214051,100,5000,0.3,0.6,300,38479
abz5,1359,533382,1000,5000,0.1,0.5,300,22099
abz5,1347,768041,200,5000,0.4,0.3,300,56969
abz5,1302,214051,100,5000,0.3,0.5,300,38469
abz5,1349,768041,200,5000,0.4,0.4,300,56979
abz5,1388,515381,500,5000,0.5,0.1,300,15159
abz5,1337,214051,100,5000,0.3,0.4,300,38459
abz5,1314,768041,200,5000,0.4,0.5,300,56989
abz5,1381,960512,300,5000,0.4,0.6,300,5699
abz5,1314,214051,100,5000,0.4,0.1,300,38499
abz5,1337,214051,100,5000,0.3,0.3,300,38449
abz5,1357,533382,1000,5000,0.1,0.6,300,22109
abz5,1319,214051,100,5000,0.3,0.2,300,38439
abz5,1354,515381,500,5000,0.4,0.6,300,15149
abz5,1328,768041,200,5000,0.5,0.1,300,57009
abz5,1312,214051,100,5000,0.3,0.1,300,38429
abz5,1334,768041,200,5000,0.5,0.2,300,57019
abz5,1373,533382,1000,5000,0.1,0.7,300,22119
