dataset,cost,seed,tabu_len,nsteps,hold,timeout,slurm
abz5,1283,926167,4,1000.0,1000,300,2459
abz5,1267,926167,6,1000.0,500,300,2469
abz5,1267,736154,2,1000.0,1000,300,2019
abz5,1267,926167,6,1000.0,1000,300,2479
abz5,1278,736154,2,1000.0,500,300,2009
abz5,1267,926167,8,1000.0,500,300,2489
abz5,1267,947154,4,1000.0,500,300,249
abz5,1267,791673,8,1000.0,1000,300,1999
abz5,1291,926167,8,1000.0,1000,300,2499
abz5,1278,7169,8,1000.0,1000,300,199
abz5,1265,736154,3,1000.0,1000,300,2039
abz5,1291,736154,8,1000.0,1000,300,2099
abz5,1267,759087,6,1000.0,500,300,2369
abz5,1288,223702,2,1000.0,500,300,2109
abz5,1271,832544,2,1000.0,1000,300,2219
abz5,1267,832544,3,1000.0,500,300,2229
abz5,1267,832544,3,1000.0,1000,300,2239
abz5,1265,832544,2,1000.0,500,300,2209
abz5,1267,832544,4,1000.0,500,300,2249
abz5,1278,223702,8,1000.0,1000,300,2199
abz5,1267,832544,4,1000.0,1000,300,2259
abz5,1281,947154,2,1000.0,1000,300,219
abz5,1267,223702,8,1000.0,500,300,2189
abz5,1271,832544,6,1000.0,500,300,2269
abz5,1295,223702,6,1000.0,1000,300,2179
abz5,1265,832544,6,1000.0,1000,300,2279
abz5,1288,832544,8,1000.0,500,300,2289
abz5,1267,223702,6,1000.0,500,300,2169
abz5,1281,947154,3,1000.0,500,300,229
abz5,1271,832544,8,1000.0,1000,300,2299
abz5,1271,223702,4,1000.0,1000,300,2159
abz5,1272,759087,2,1000.0,500,300,2309
abz5,1274,223702,4,1000.0,500,300,2149
abz5,1267,759087,2,1000.0,1000,300,2319
abz5,1295,223702,3,1000.0,1000,300,2139
abz5,1271,759087,3,1000.0,500,300,2329
abz5,1267,223702,3,1000.0,500,300,2129
abz5,1267,759087,3,1000.0,1000,300,2339
abz5,1291,223702,2,1000.0,1000,300,2119
abz5,1267,759087,4,1000.0,500,300,2349
abz5,1300,759087,4,1000.0,1000,300,2359
abz5,1281,791673,8,1000.0,500,300,1989
abz5,1267,265062,2,1000.0,500,300,2509
abz5,1282,265062,2,1000.0,1000,300,2519
abz5,1278,791673,6,1000.0,1000,300,1979
abz5,1288,490809,6,1000.0,1000,300,2679
abz5,1265,792849,3,1000.0,1000,300,1839
abz5,1265,490809,8,1000.0,500,300,2689
abz5,1267,947154,6,1000.0,500,300,269
abz5,1267,490809,8,1000.0,1000,300,2699
abz5,1281,792849,3,1000.0,500,300,1829
abz5,1267,53631,2,1000.0,500,300,2709
abz5,1280,792849,2,1000.0,1000,300,1819
abz5,1267,53631,2,1000.0,1000,300,2719
abz5,1271,792849,2,1000.0,500,300,1809
abz5,1267,53631,3,1000.0,500,300,2729
abz5,1265,14594,8,1000.0,1000,300,1799
abz5,1278,53631,3,1000.0,1000,300,2739
abz5,1316,7169,6,1000.0,1000,300,179
abz5,1283,14594,8,1000.0,500,300,1789
abz5,1295,53631,4,1000.0,500,300,2749
abz5,1295,53631,4,1000.0,1000,300,2759
abz5,1267,14594,6,1000.0,1000,300,1779
abz5,1265,53631,6,1000.0,500,300,2769
abz5,1263,14594,6,1000.0,500,300,1769
abz5,1271,53631,6,1000.0,1000,300,2779
abz5,1267,14594,4,1000.0,1000,300,1759
abz5,1265,53631,8,1000.0,500,300,2789
abz5,1291,947154,6,1000.0,1000,300,279
abz5,1267,14594,4,1000.0,500,300,1749
abz5,1281,53631,8,1000.0,1000,300,2799
abz5,1266,14594,3,1000.0,1000,300,1739
abz5,1281,792849,4,1000.0,500,300,1849
abz5,1267,785392,2,1000.0,1000,300,2819
abz5,1281,490809,6,1000.0,500,300,2669
abz5,1295,490809,4,1000.0,1000,300,2659
abz5,1272,265062,3,1000.0,500,300,2529
abz5,1265,791673,6,1000.0,500,300,1969
abz5,1270,265062,3,1000.0,1000,300,2539
abz5,1267,791673,4,1000.0,1000,300,1959
abz5,1267,265062,4,1000.0,500,300,2549
abz5,1267,791673,4,1000.0,500,300,1949
abz5,1295,265062,4,1000.0,1000,300,2559
abz5,1272,791673,3,1000.0,1000,300,1939
abz5,1295,265062,6,1000.0,500,300,2569
abz5,1295,265062,6,1000.0,1000,300,2579
abz5,1267,791673,3,1000.0,500,300,1929
abz5,1267,265062,8,1000.0,500,300,2589
abz5,1265,947154,4,1000.0,1000,300,259
abz5,1271,791673,2,1000.0,1000,300,1919
abz5,1288,265062,8,1000.0,1000,300,2599
abz5,1265,791673,2,1000.0,500,300,1909
abz5,1267,490809,2,1000.0,500,300,2609
abz5,1265,835140,2,1000.0,1000,300,19
abz5,1263,792849,8,1000.0,1000,300,1899
abz5,1286,490809,2,1000.0,1000,300,2619
abz5,1295,7169,8,1000.0,500,300,189
abz5,1265,792849,8,1000.0,500,300,1889
abz5,1271,490809,3,1000.0,500,300,2629
abz5,1281,490809,3,1000.0,1000,300,2639
abz5,1281,792849,6,1000.0,1000,300,1879
abz5,1281,490809,4,1000.0,500,300,2649
abz5,1267,792849,6,1000.0,500,300,1869
abz5,1290,792849,4,1000.0,1000,300,1859
abz5,1278,567867,3,1000.0,500,300,729
abz5,1267,520697,4,1000.0,1000,300,2959
abz5,1278,835140,2,1000.0,500,300,9
abz5,1291,640662,3,1000.0,500,300,1129
abz5,1265,567867,4,1000.0,500,300,749
abz5,1288,567867,3,1000.0,1000,300,739
abz5,1267,640662,8,1000.0,1000,300,1199
abz5,1267,63476,2,1000.0,500,300,1009
abz5,1265,244994,3,1000.0,1000,300,839
abz5,1266,929289,6,1000.0,500,300,969
abz5,1267,244994,2,1000.0,500,300,809
abz5,1270,835140,8,1000.0,500,300,89
abz5,1285,753386,2,1000.0,500,300,1209
abz5,1267,929289,2,1000.0,1000,300,919
abz5,1283,63476,8,1000.0,500,300,1089
abz5,1266,929289,6,1000.0,1000,300,979
abz5,1267,7169,2,1000.0,1000,300,119
abz5,1267,63476,3,1000.0,1000,300,1039
abz5,1265,7169,2,1000.0,500,300,109
abz5,1267,63476,2,1000.0,1000,300,1019
abz5,1278,244994,8,1000.0,500,300,889
abz5,1288,63476,8,1000.0,1000,300,1099
abz5,1272,244994,8,1000.0,1000,300,899
abz5,1270,929289,2,1000.0,500,300,909
abz5,1267,640662,8,1000.0,500,300,1189
abz5,1267,244994,6,1000.0,1000,300,879
abz5,1267,567867,8,1000.0,1000,300,799
abz5,1283,567867,6,1000.0,500,300,769
abz5,1267,640662,4,1000.0,1000,300,1159
abz5,1267,244994,3,1000.0,500,300,829
abz5,1263,929289,4,1000.0,500,300,949
abz5,1267,640662,3,1000.0,1000,300,1139
abz5,1267,63476,4,1000.0,1000,300,1059
abz5,1267,640662,6,1000.0,500,300,1169
abz5,1267,244994,6,1000.0,500,300,869
abz5,1267,640662,6,1000.0,1000,300,1179
abz5,1267,63476,4,1000.0,500,300,1049
abz5,1283,640662,2,1000.0,1000,300,1119
abz5,1266,567867,4,1000.0,1000,300,759
abz5,1286,929289,3,1000.0,500,300,929
abz5,1267,63476,3,1000.0,500,300,1029
abz5,1263,63476,6,1000.0,1000,300,1079
abz5,1295,640662,4,1000.0,500,300,1149
abz5,1278,244994,4,1000.0,500,300,849
abz5,1265,929289,4,1000.0,1000,300,959
abz5,1278,567867,8,1000.0,500,300,789
abz5,1281,835140,6,1000.0,1000,300,79
abz5,1267,929289,3,1000.0,1000,300,939
abz5,1291,244994,4,1000.0,1000,300,859
abz5,1281,63476,6,1000.0,500,300,1069
abz5,1267,567867,6,1000.0,1000,300,779
abz5,1288,244994,2,1000.0,1000,300,819
abz5,1283,640662,2,1000.0,500,300,1109
abz5,1267,753386,2,1000.0,1000,300,1219
abz5,1283,929289,8,1000.0,500,300,989
abz5,1281,835140,8,1000.0,1000,300,99
abz6,977,960897,6,1000.0,500,300,367
abz6,977,960897,4,1000.0,1000,300,357
abz6,977,637083,8,1000.0,1000,300,1497
abz6,977,960897,6,1000.0,1000,300,377
abz6,979,792849,8,1000.0,500,300,1887
abz6,979,792849,6,1000.0,1000,300,1877
abz6,977,490809,2,1000.0,1000,300,2617
abz6,977,960897,8,1000.0,1000,300,397
abz6,979,835140,3,1000.0,1000,300,37
abz6,977,792849,8,1000.0,1000,300,1897
abz6,977,490809,4,1000.0,1000,300,2657
abz6,979,929289,2,1000.0,500,300,907
abz6,980,97017,3,1000.0,500,300,1527
abz6,979,792849,6,1000.0,500,300,1867
abz6,977,640662,4,1000.0,1000,300,1157
abz6,977,97017,2,1000.0,1000,300,1517
abz6,977,244994,2,1000.0,500,300,807
abz6,975,490809,4,1000.0,500,300,2647
abz6,977,960897,8,1000.0,500,300,387
abz6,977,63476,6,1000.0,1000,300,1077
abz6,977,97017,2,1000.0,500,300,1507
abz6,977,7169,8,1000.0,500,300,187
abz6,977,490809,3,1000.0,500,300,2627
abz6,977,490809,3,1000.0,1000,300,2637
abz6,977,785392,3,1000.0,500,300,2827
abz6,975,490809,2,1000.0,500,300,2607
abz6,977,265062,4,1000.0,500,300,2547
abz6,977,409001,8,1000.0,500,300,1687
abz6,980,650157,4,1000.0,1000,300,457
abz6,975,637083,4,1000.0,500,300,1447
abz6,980,7169,2,1000.0,1000,300,117
abz6,979,63476,4,1000.0,1000,300,1057
abz6,975,265062,3,1000.0,1000,300,2537
abz6,979,791673,6,1000.0,500,300,1967
abz6,977,650157,6,1000.0,500,300,467
abz6,979,929289,3,1000.0,500,300,927
abz6,977,637083,3,1000.0,1000,300,1437
abz6,977,835140,4,1000.0,500,300,47
abz6,979,7169,8,1000.0,1000,300,197
abz6,979,265062,3,1000.0,500,300,2527
abz6,977,791673,6,1000.0,1000,300,1977
abz6,980,650157,6,1000.0,1000,300,477
abz6,977,567867,8,1000.0,500,300,787
abz6,977,637083,3,1000.0,500,300,1427
abz6,975,265062,2,1000.0,1000,300,2517
abz6,977,650157,4,1000.0,500,300,447
abz6,975,637083,4,1000.0,1000,300,1457
abz6,979,265062,4,1000.0,1000,300,2557
abz6,975,640662,6,1000.0,500,300,1167
abz6,975,791673,2,1000.0,500,300,1907
abz6,977,650157,2,1000.0,500,300,407
abz6,977,63476,6,1000.0,500,300,1067
abz6,979,637083,8,1000.0,500,300,1487
abz6,977,265062,8,1000.0,1000,300,2597
abz6,977,791673,2,1000.0,1000,300,1917
abz6,979,650157,2,1000.0,1000,300,417
abz6,977,567867,8,1000.0,1000,300,797
abz6,977,637083,6,1000.0,1000,300,1477
abz6,977,7169,2,1000.0,500,300,107
abz6,977,791673,3,1000.0,500,300,1927
abz6,977,265062,6,1000.0,1000,300,2577
abz6,977,650157,3,1000.0,500,300,427
abz6,980,7169,4,1000.0,500,300,147
abz6,977,947154,4,1000.0,1000,300,257
abz6,979,637083,6,1000.0,500,300,1467
abz6,977,791673,3,1000.0,1000,300,1937
abz6,980,650157,3,1000.0,1000,300,437
abz6,979,265062,6,1000.0,500,300,2567
abz6,977,791673,4,1000.0,500,300,1947
abz6,977,929289,2,1000.0,1000,300,917
abz6,977,265062,8,1000.0,500,300,2587
abz6,980,490809,8,1000.0,500,300,2687
abz6,975,490809,6,1000.0,500,300,2667
abz6,977,785392,2,1000.0,1000,300,2817
abz6,977,14594,3,1000.0,1000,300,1737
abz6,980,244994,6,1000.0,500,300,867
abz6,977,409001,3,1000.0,1000,300,1637
abz6,980,520697,3,1000.0,500,300,2927
abz6,980,785392,2,1000.0,500,300,2807
abz6,979,14594,4,1000.0,500,300,1747
abz6,975,520697,3,1000.0,1000,300,2937
abz6,979,244994,3,1000.0,1000,300,837
abz6,980,640662,2,1000.0,500,300,1107
abz6,975,409001,3,1000.0,500,300,1627
abz6,977,835140,8,1000.0,500,300,87
abz6,977,53631,8,1000.0,500,300,2787
abz6,975,520697,4,1000.0,500,300,2947
abz6,977,14594,4,1000.0,1000,300,1757
abz6,977,409001,2,1000.0,1000,300,1617
abz6,977,53631,6,1000.0,1000,300,2777
abz6,979,14594,6,1000.0,500,300,1767
abz6,977,244994,6,1000.0,1000,300,877
abz6,979,520697,4,1000.0,1000,300,2957
abz6,979,53631,8,1000.0,1000,300,2797
abz6,975,7169,6,1000.0,1000,300,177
abz6,979,14594,3,1000.0,500,300,1727
abz6,977,520697,2,1000.0,1000,300,2917
abz6,977,785392,6,1000.0,1000,300,2877
abz6,977,640662,2,1000.0,1000,300,1117
abz6,975,409001,6,1000.0,1000,300,1677
abz6,979,785392,6,1000.0,500,300,2867
abz6,980,785392,8,1000.0,500,300,2887
abz6,977,409001,8,1000.0,1000,300,1697
abz6,979,785392,4,1000.0,1000,300,2857
abz6,977,7169,6,1000.0,500,300,167
abz6,977,244994,4,1000.0,500,300,847
abz6,977,640662,3,1000.0,500,300,1127
abz6,979,244994,4,1000.0,1000,300,857
abz6,977,835140,2,1000.0,1000,300,17
abz6,979,785392,8,1000.0,1000,300,2897
abz6,975,785392,4,1000.0,500,300,2847
abz6,977,14594,2,1000.0,500,300,1707
abz6,980,409001,4,1000.0,1000,300,1657
abz6,979,785392,3,1000.0,1000,300,2837
abz6,980,520697,2,1000.0,500,300,2907
abz6,980,14594,2,1000.0,1000,300,1717
abz6,979,409001,4,1000.0,500,300,1647
abz6,975,409001,6,1000.0,500,300,1667
abz6,975,947154,6,1000.0,1000,300,277
abz6,977,409001,2,1000.0,500,300,1607
abz6,977,53631,6,1000.0,500,300,2767
abz6,979,53631,2,1000.0,500,300,2707
abz6,980,960897,2,1000.0,1000,300,317
abz6,979,792849,3,1000.0,500,300,1827
abz6,977,835140,3,1000.0,500,300,27
abz6,977,63476,8,1000.0,500,300,1087
abz6,979,490809,8,1000.0,1000,300,2697
abz6,980,97017,4,1000.0,1000,300,1557
abz6,980,960897,3,1000.0,500,300,327
abz6,977,792849,3,1000.0,1000,300,1837
abz6,977,97017,6,1000.0,500,300,1567
abz6,980,650157,8,1000.0,500,300,487
abz6,977,960897,3,1000.0,1000,300,337
abz6,977,97017,4,1000.0,500,300,1547
abz6,979,244994,2,1000.0,1000,300,817
abz6,977,792849,4,1000.0,500,300,1847
abz6,977,490809,6,1000.0,1000,300,2677
abz6,979,244994,8,1000.0,1000,300,897
abz6,977,960897,4,1000.0,500,300,347
abz6,975,97017,3,1000.0,1000,300,1537
abz6,977,947154,6,1000.0,500,300,267
abz6,977,640662,4,1000.0,500,300,1147
abz6,979,792849,2,1000.0,1000,300,1817
abz6,975,7169,4,1000.0,1000,300,157
abz6,977,53631,2,1000.0,1000,300,2717
abz6,977,520697,6,1000.0,500,300,2967
abz6,977,14594,6,1000.0,1000,300,1777
abz6,977,947154,8,1000.0,1000,300,297
abz6,977,63476,8,1000.0,1000,300,1097
abz6,979,53631,4,1000.0,1000,300,2757
abz6,979,520697,6,1000.0,1000,300,2977
abz6,977,97017,8,1000.0,1000,300,1597
abz6,980,14594,8,1000.0,500,300,1787
abz6,977,53631,4,1000.0,500,300,2747
abz6,981,520697,8,1000.0,500,300,2987
abz6,979,640662,3,1000.0,1000,300,1137
abz6,977,244994,3,1000.0,500,300,827
abz6,979,97017,8,1000.0,500,300,1587
abz6,977,14594,8,1000.0,1000,300,1797
abz6,977,53631,3,1000.0,1000,300,2737
abz6,979,244994,8,1000.0,500,300,887
abz6,979,520697,8,1000.0,1000,300,2997
abz6,977,53631,3,1000.0,500,300,2727
abz6,980,792849,2,1000.0,500,300,1807
abz6,981,97017,6,1000.0,1000,300,1577
abz6,977,960897,2,1000.0,500,300,307
abz6,979,792849,4,1000.0,1000,300,1857
abz6,977,791673,8,1000.0,500,300,1987
abz6,979,791673,4,1000.0,1000,300,1957
abz6,979,947154,8,1000.0,500,300,287
abz6,977,926167,2,1000.0,500,300,2407
abz6,979,832544,8,1000.0,500,300,2287
abz6,980,736154,6,1000.0,1000,300,2077
abz6,977,929289,4,1000.0,1000,300,957
abz6,979,759087,8,1000.0,1000,300,2397
abz6,977,939994,8,1000.0,500,300,587
abz6,975,592855,6,1000.0,1000,300,677
abz6,975,317125,3,1000.0,1000,300,1337
abz6,977,947154,2,1000.0,1000,300,217
abz6,979,736154,8,1000.0,500,300,2087
abz6,979,63476,3,1000.0,500,300,1027
abz6,979,753386,6,1000.0,500,300,1267
abz6,977,759087,8,1000.0,500,300,2387
abz6,980,939994,8,1000.0,1000,300,597
abz6,980,223702,6,1000.0,500,300,2167
abz6,977,317125,4,1000.0,500,300,1347
abz6,979,223702,6,1000.0,1000,300,2177
abz6,980,939994,6,1000.0,1000,300,577
abz6,980,592855,8,1000.0,500,300,687
abz6,979,926167,3,1000.0,500,300,2427
abz6,977,592855,8,1000.0,1000,300,697
abz6,977,939994,4,1000.0,1000,300,557
abz6,977,736154,4,1000.0,1000,300,2057
abz6,975,223702,8,1000.0,500,300,2187
abz6,980,926167,2,1000.0,1000,300,2417
abz6,975,63476,2,1000.0,500,300,1007
abz6,977,736154,8,1000.0,1000,300,2097
abz6,989,317125,4,1000.0,1000,300,1357
abz6,979,939994,6,1000.0,500,300,567
abz6,977,832544,6,1000.0,1000,300,2277
abz6,979,835140,4,1000.0,1000,300,57
abz6,977,736154,6,1000.0,500,300,2067
abz6,977,947154,2,1000.0,500,300,207
abz6,979,753386,4,1000.0,1000,300,1257
abz6,975,567867,6,1000.0,500,300,767
abz6,977,947154,3,1000.0,500,300,227
abz6,977,317125,3,1000.0,500,300,1327
abz6,979,759087,6,1000.0,1000,300,2377
abz6,977,7169,3,1000.0,500,300,127
abz6,975,223702,4,1000.0,1000,300,2157
abz6,977,567867,4,1000.0,500,300,747
abz6,980,592855,3,1000.0,500,300,627
abz6,977,759087,4,1000.0,500,300,2347
abz6,977,592855,4,1000.0,1000,300,657
abz6,979,759087,2,1000.0,500,300,2307
abz6,979,223702,3,1000.0,500,300,2127
abz6,980,317125,2,1000.0,500,300,1307
abz6,977,592855,3,1000.0,1000,300,637
abz6,977,223702,4,1000.0,500,300,2147
abz6,977,759087,2,1000.0,1000,300,2317
abz6,975,753386,8,1000.0,1000,300,1297
abz6,977,753386,8,1000.0,500,300,1287
abz6,977,759087,3,1000.0,500,300,2327
abz6,975,223702,3,1000.0,1000,300,2137
abz6,977,63476,2,1000.0,1000,300,1017
abz6,977,759087,3,1000.0,1000,300,2337
abz6,977,832544,6,1000.0,500,300,2267
abz6,977,835140,8,1000.0,1000,300,97
abz6,977,929289,6,1000.0,1000,300,977
abz6,979,947154,3,1000.0,1000,300,237
abz6,977,592855,2,1000.0,500,300,607
abz6,977,835140,6,1000.0,500,300,67
abz6,975,640662,8,1000.0,1000,300,1197
abz6,979,759087,6,1000.0,500,300,2367
abz6,975,223702,2,1000.0,500,300,2107
abz6,980,753386,2,1000.0,500,300,1207
abz6,979,223702,2,1000.0,1000,300,2117
abz6,979,567867,4,1000.0,1000,300,757
abz6,977,832544,8,1000.0,1000,300,2297
abz6,977,317125,2,1000.0,1000,300,1317
abz6,979,592855,6,1000.0,500,300,667
abz6,977,929289,6,1000.0,500,300,967
abz6,975,759087,4,1000.0,1000,300,2357
abz6,975,592855,2,1000.0,1000,300,617
abz6,977,753386,6,1000.0,1000,300,1277
abz6,979,265062,2,1000.0,500,300,2507
abz6,977,317125,6,1000.0,500,300,1367
abz6,979,592855,4,1000.0,500,300,647
abz6,977,567867,3,1000.0,1000,300,737
abz6,975,567867,2,1000.0,500,300,707
abz6,980,753386,2,1000.0,1000,300,1217
abz6,975,223702,8,1000.0,1000,300,2197
abz6,977,926167,4,1000.0,1000,300,2457
abz6,980,929289,3,1000.0,1000,300,937
abz6,979,640662,6,1000.0,1000,300,1177
abz6,979,753386,3,1000.0,1000,300,1237
abz6,977,317125,8,1000.0,500,300,1387
abz6,977,939994,3,1000.0,500,300,527
abz6,977,736154,3,1000.0,500,300,2027
abz6,979,63476,4,1000.0,500,300,1047
abz6,977,753386,3,1000.0,500,300,1227
abz6,977,637083,2,1000.0,500,300,1407
abz6,977,926167,6,1000.0,500,300,2467
abz6,979,640662,8,1000.0,500,300,1187
abz6,979,832544,4,1000.0,500,300,2247
abz6,979,939994,2,1000.0,500,300,507
abz6,977,926167,8,1000.0,500,300,2487
abz6,975,736154,2,1000.0,500,300,2007
abz6,977,832544,3,1000.0,1000,300,2237
abz6,977,947154,4,1000.0,500,300,247
abz6,977,736154,2,1000.0,1000,300,2017
abz6,975,567867,6,1000.0,1000,300,777
abz6,975,317125,8,1000.0,1000,300,1397
abz6,977,939994,2,1000.0,1000,300,517
abz6,977,832544,2,1000.0,500,300,2207
abz6,977,567867,2,1000.0,1000,300,717
abz6,979,832544,2,1000.0,1000,300,2217
abz6,977,926167,4,1000.0,500,300,2447
abz6,979,926167,6,1000.0,1000,300,2477
abz6,979,832544,3,1000.0,500,300,2227
abz6,975,736154,4,1000.0,500,300,2047
abz6,980,835140,2,1000.0,500,300,7
abz6,977,753386,4,1000.0,500,300,1247
abz6,981,567867,3,1000.0,500,300,727
abz6,975,926167,3,1000.0,1000,300,2437
abz6,979,929289,4,1000.0,500,300,947
abz6,979,939994,4,1000.0,500,300,547
abz6,979,835140,6,1000.0,1000,300,77
