dataset,seed,cost,timeout,slurm
la01,11188,666,0.1,160
la01,470327,666,0.1,220
la01,693419,666,0.1,150
la01,326535,666,0.1,10
la01,1976,666,0.2,40
la01,65565,666,0.1,100
la01,642927,666,0.1,230
la01,369380,666,0.1,210
la01,575180,666,0.1,170
la01,681122,666,0.1,280
la01,154678,666,0.1,90
la01,931341,666,0.1,300
la01,121281,666,0.1,140
la01,537284,666,0.1,290
la01,363468,666,0.1,250
la01,787554,666,0.2,120
la01,98908,666,0.1,200
la01,863030,666,0.1,80
la01,830166,666,0.2,20
la01,563641,666,0.1,50
la01,244840,666,0.1,190
la01,271655,666,0.1,60
la01,135635,666,0.2,130
la01,739961,666,0.1,260
la01,519001,666,0.1,30
la01,679148,666,0.2,180
la01,892652,666,0.1,240
la01,521805,666,0.1,270
la01,304797,666,0.1,110
la01,417968,666,0.1,70
la02,863030,655,0.4,78
la02,787554,655,0.2,118
la02,326535,655,0.4,8
la02,563641,655,0.3,48
la02,1976,655,0.4,38
la02,135635,655,0.2,128
la02,693419,655,0.2,148
la02,271655,655,0.4,58
la02,154678,655,0.5,88
la02,304797,655,0.2,108
la02,417968,655,0.3,68
la02,121281,655,0.2,138
la02,470327,655,0.4,218
la02,931341,655,0.4,298
la02,830166,655,0.5,18
la02,679148,655,0.4,178
la02,244840,655,0.3,188
la02,739961,655,0.3,258
la02,681122,655,0.2,278
la02,363468,655,0.3,248
la02,98908,655,0.3,198
la02,521805,655,0.2,268
la02,575180,655,0.4,168
la02,892652,655,0.7,238
la02,519001,655,0.3,28
la02,369380,655,0.3,208
la02,65565,655,0.3,98
la02,642927,655,0.3,228
la02,537284,655,0.3,288
la02,11188,655,0.4,158
la03,369380,597,0.3,206
la03,470327,597,0.3,216
la03,244840,597,0.2,186
la03,519001,597,0.5,26
la03,65565,597,0.3,96
la03,417968,597,0.3,66
la03,642927,597,0.3,226
la03,98908,597,0.3,196
la03,892652,597,0.4,236
la03,787554,597,0.4,116
la03,863030,597,0.3,76
la03,304797,597,0.2,106
la03,363468,597,0.3,246
la03,154678,597,0.4,86
la03,739961,597,0.3,256
la03,326535,597,0.2,6
la03,135635,597,0.2,126
la03,575180,597,0.3,166
la03,521805,597,0.2,266
la03,693419,597,0.4,146
la03,563641,597,0.3,46
la03,681122,597,0.3,276
la03,537284,597,0.3,286
la03,121281,597,0.3,136
la03,830166,597,0.4,16
la03,1976,597,0.3,36
la03,679148,597,0.3,176
la03,931341,597,0.2,296
la03,271655,597,0.4,56
la03,11188,597,0.4,156
la04,1976,590,0.3,35
la04,537284,590,0.2,285
la04,304797,590,0.2,105
la04,830166,590,0.3,15
la04,575180,590,0.3,165
la04,892652,590,0.2,235
la04,470327,590,0.2,215
la04,65565,590,0.3,95
la04,154678,590,0.1,85
la04,642927,590,0.3,225
la04,693419,590,0.3,145
la04,521805,590,0.3,265
la04,363468,590,0.2,245
la04,244840,590,0.3,185
la04,271655,590,0.3,55
la04,11188,590,0.2,155
la04,417968,590,0.3,65
la04,135635,590,0.3,125
la04,121281,590,0.3,135
la04,679148,590,0.3,175
la04,739961,590,0.5,255
la04,98908,590,0.3,195
la04,519001,590,0.2,25
la04,326535,590,0.2,5
la04,681122,590,0.3,275
la04,863030,590,0.3,75
la04,787554,590,0.3,115
la04,563641,590,0.3,45
la04,369380,590,0.2,205
la04,931341,590,0.2,295
